iter	Passed	Remaining
0	7	7499
1	14	7198
2	20	6936
3	28	7000
4	35	7053
5	42	7021
6	49	7029
7	57	7093
8	64	7088
9	71	7058
10	78	7060
11	85	7026
12	92	7034
13	100	7052
14	106	7025
15	113	6979
16	119	6935
17	127	6935
18	133	6915
19	140	6901
20	147	6883
21	154	6866
22	161	6860
23	168	6861
24	175	6850
25	182	6839
26	189	6834
27	196	6814
28	203	6817
29	210	6809
30	217	6789
31	224	6778
32	230	6766
33	237	6757
34	244	6744
35	251	6733
36	258	6723
37	265	6711
38	272	6703
39	278	6686
40	285	6680
41	292	6673
42	299	6661
43	306	6654
44	314	6681
45	321	6667
46	328	6652
47	334	6640
48	341	6632
49	348	6616
50	355	6607
51	361	6596
52	368	6580
53	375	6571
54	381	6558
55	388	6548
56	395	6536
57	401	6522
58	408	6513
59	414	6501
60	421	6489
61	427	6471
62	434	6467
63	441	6456
64	448	6449
65	455	6441
66	462	6436
67	468	6422
68	475	6411
69	481	6402
70	488	6390
71	495	6380
72	501	6369
73	508	6358
74	514	6348
75	521	6334
76	528	6332
77	534	6322
78	541	6318
79	548	6307
80	554	6295
81	561	6281
82	567	6273
83	574	6266
84	581	6259
85	588	6253
86	595	6245
87	601	6238
88	609	6234
89	615	6228
90	622	6222
91	629	6211
92	635	6202
93	642	6194
94	649	6186
95	656	6186
96	663	6181
97	670	6175
98	677	6170
99	684	6159
100	690	6145
101	697	6137
102	704	6132
103	711	6126
104	717	6118
105	724	6114
106	731	6104
107	738	6098
108	745	6090
109	752	6089
110	759	6082
111	766	6075
112	773	6072
113	780	6066
114	787	6058
115	793	6048
116	800	6039
117	807	6036
118	814	6031
119	821	6024
120	829	6022
121	835	6013
122	842	6006
123	849	5997
124	855	5988
125	861	5977
126	868	5968
127	875	5960
128	882	5955
129	889	5951
130	895	5941
131	902	5933
132	908	5925
133	915	5916
134	921	5907
135	928	5900
136	935	5891
137	941	5883
138	948	5874
139	955	5868
140	962	5863
141	969	5856
142	975	5847
143	982	5841
144	989	5835
145	996	5829
146	1003	5821
147	1009	5814
148	1016	5807
149	1023	5800
150	1030	5793
151	1037	5786
152	1044	5779
153	1051	5777
154	1058	5770
155	1065	5762
156	1071	5755
157	1078	5747
158	1085	5740
159	1091	5732
160	1097	5721
161	1103	5709
162	1110	5703
163	1117	5697
164	1124	5690
165	1131	5684
166	1138	5680
167	1145	5674
168	1153	5669
169	1159	5662
170	1167	5658
171	1173	5650
172	1180	5641
173	1187	5635
174	1193	5627
175	1200	5622
176	1207	5616
177	1214	5609
178	1221	5602
179	1227	5594
180	1234	5588
181	1240	5576
182	1247	5567
183	1252	5556
184	1259	5548
185	1265	5539
186	1272	5531
187	1278	5521
188	1284	5510
189	1291	5504
190	1297	5497
191	1305	5492
192	1312	5486
193	1318	5479
194	1326	5474
195	1332	5465
196	1339	5460
197	1346	5452
198	1353	5446
199	1360	5440
200	1366	5432
201	1373	5424
202	1380	5420
203	1387	5415
204	1394	5409
205	1402	5404
206	1409	5399
207	1416	5392
208	1422	5384
209	1429	5378
210	1435	5369
211	1442	5361
212	1449	5354
213	1456	5348
214	1462	5341
215	1469	5333
216	1476	5327
217	1483	5321
218	1490	5314
219	1497	5309
220	1504	5303
221	1511	5295
222	1518	5289
223	1525	5283
224	1532	5277
225	1538	5270
226	1545	5263
227	1552	5256
228	1559	5249
229	1565	5241
230	1572	5235
231	1579	5228
232	1586	5222
233	1593	5215
234	1600	5208
235	1606	5202
236	1613	5195
237	1620	5187
238	1627	5181
239	1633	5174
240	1640	5168
241	1647	5160
242	1654	5153
243	1661	5147
244	1668	5141
245	1675	5134
246	1681	5126
247	1688	5119
248	1694	5112
249	1702	5106
250	1709	5100
251	1716	5093
252	1722	5086
253	1728	5078
254	1735	5071
255	1742	5064
256	1749	5057
257	1756	5052
258	1763	5045
259	1770	5039
260	1777	5031
261	1784	5025
262	1790	5018
263	1798	5013
264	1805	5008
265	1812	5001
266	1818	4993
267	1825	4986
268	1832	4978
269	1838	4971
270	1845	4965
271	1852	4959
272	1859	4951
273	1865	4943
274	1873	4938
275	1879	4931
276	1886	4923
277	1893	4917
278	1900	4910
279	1907	4903
280	1913	4896
281	1920	4890
282	1927	4883
283	1934	4877
284	1941	4869
285	1948	4864
286	1956	4861
287	1963	4853
288	1969	4845
289	1976	4838
290	1982	4830
291	1989	4822
292	1995	4815
293	2002	4808
294	2009	4801
295	2015	4793
296	2022	4787
297	2029	4780
298	2036	4774
299	2043	4767
300	2049	4760
301	2056	4752
302	2062	4744
303	2069	4738
304	2076	4732
305	2083	4724
306	2090	4718
307	2097	4711
308	2103	4704
309	2110	4698
310	2118	4692
311	2125	4686
312	2131	4679
313	2138	4672
314	2145	4665
315	2153	4660
316	2159	4653
317	2166	4646
318	2173	4640
319	2181	4634
320	2187	4627
321	2194	4621
322	2200	4613
323	2208	4607
324	2214	4599
325	2221	4593
326	2228	4587
327	2235	4580
328	2242	4574
329	2249	4566
330	2256	4561
331	2263	4553
332	2270	4546
333	2276	4539
334	2283	4532
335	2289	4524
336	2296	4518
337	2303	4511
338	2310	4504
339	2317	4497
340	2323	4490
341	2330	4483
342	2336	4476
343	2343	4468
344	2349	4461
345	2356	4453
346	2362	4446
347	2368	4437
348	2375	4431
349	2382	4424
350	2388	4417
351	2395	4410
352	2402	4402
353	2408	4395
354	2415	4388
355	2422	4381
356	2428	4374
357	2435	4367
358	2442	4360
359	2448	4353
360	2455	4346
361	2462	4340
362	2469	4333
363	2475	4325
364	2482	4319
365	2489	4312
366	2496	4305
367	2503	4298
368	2509	4291
369	2516	4284
370	2523	4278
371	2530	4272
372	2537	4265
373	2543	4258
374	2550	4251
375	2556	4243
376	2563	4236
377	2570	4230
378	2578	4224
379	2584	4217
380	2591	4210
381	2598	4203
382	2605	4196
383	2611	4189
384	2618	4182
385	2625	4175
386	2632	4169
387	2638	4161
388	2645	4154
389	2651	4147
390	2658	4140
391	2665	4133
392	2672	4127
393	2679	4120
394	2685	4113
395	2692	4106
396	2698	4099
397	2705	4092
398	2712	4085
399	2719	4079
400	2726	4072
401	2732	4065
402	2739	4058
403	2746	4051
404	2753	4044
405	2759	4037
406	2766	4031
407	2773	4023
408	2780	4017
409	2787	4011
410	2794	4004
411	2800	3997
412	2807	3990
413	2814	3983
414	2820	3976
415	2827	3970
416	2835	3964
417	2841	3956
418	2848	3949
419	2855	3942
420	2861	3935
421	2868	3928
422	2875	3922
423	2882	3915
424	2888	3908
425	2896	3902
426	2902	3895
427	2909	3888
428	2916	3882
429	2923	3875
430	2930	3868
431	2937	3862
432	2944	3855
433	2951	3848
434	2958	3842
435	2964	3834
436	2971	3828
437	2978	3822
438	2986	3816
439	2992	3808
440	2999	3802
441	3006	3795
442	3013	3789
443	3020	3782
444	3027	3775
445	3034	3768
446	3041	3762
447	3047	3755
448	3054	3748
449	3061	3741
450	3067	3733
451	3073	3726
452	3080	3719
453	3086	3712
454	3093	3705
455	3101	3699
456	3107	3692
457	3115	3686
458	3122	3680
459	3129	3673
460	3135	3666
461	3142	3659
462	3149	3652
463	3156	3646
