iter	Logloss
0	0.6411667441
1	0.5994622256
2	0.5668333942
3	0.5412275932
4	0.5202098196
5	0.5039318239
6	0.4902175368
7	0.4793630849
8	0.4711142656
9	0.4642808633
10	0.4585209849
11	0.4535203477
12	0.4499242027
13	0.4466273177
14	0.444114838
15	0.4420391729
16	0.4406401688
17	0.4392599016
18	0.437950822
19	0.4366771281
20	0.4356943678
21	0.4349706245
22	0.4343287129
23	0.4336336035
24	0.4331578235
25	0.4328068139
26	0.4323530467
27	0.4321390041
28	0.4318614952
29	0.4316096031
30	0.4313473647
31	0.4312133572
32	0.4310994312
33	0.4308261071
34	0.4306382515
35	0.4304563013
36	0.4302417462
37	0.430105175
38	0.4300193895
39	0.4297948956
40	0.429703763
41	0.4295436394
42	0.4293949581
43	0.4292815822
44	0.4291491799
45	0.4290350644
46	0.4289250702
47	0.428747375
48	0.4286673142
49	0.4285527001
50	0.4284604009
51	0.4283854959
52	0.4283050855
53	0.428187237
54	0.4281123555
55	0.4280249318
56	0.4279691339
57	0.427884279
58	0.427817755
59	0.4277407067
60	0.4276672677
61	0.4276200785
62	0.4275591337
63	0.4275188839
64	0.4274356724
65	0.4273397805
66	0.4272824275
67	0.42722006
68	0.4271488633
69	0.4270955424
70	0.4270078575
71	0.4269278523
72	0.4268650854
73	0.426761119
74	0.4267222466
75	0.4266591075
76	0.4266229658
77	0.4265145292
78	0.4264291094
79	0.4263573938
80	0.4262712631
81	0.4262238788
82	0.4261324394
83	0.4260895664
84	0.4260475994
85	0.4259715184
86	0.4259295724
87	0.4258941289
88	0.4258392524
89	0.4257777974
90	0.4257002902
91	0.425651975
92	0.4256094669
93	0.4255657641
94	0.4255350322
95	0.425466858
96	0.4254083401
97	0.4253534549
98	0.4253251277
99	0.4252388021
100	0.4251544462
101	0.4250858059
102	0.4250144398
103	0.4249624293
104	0.4249401109
105	0.4248781492
106	0.4248516901
107	0.4247913095
108	0.4247176237
109	0.4246443537
110	0.4245820142
111	0.424536858
112	0.4244971964
113	0.4244183731
114	0.4243399362
115	0.4242482418
116	0.4241938665
117	0.4241357414
118	0.4240973051
119	0.4240342181
120	0.4239500181
121	0.42392319
122	0.4238194872
123	0.4237651386
124	0.4236660734
125	0.4236431427
126	0.4235844651
127	0.4235036055
128	0.4234760215
129	0.4233788785
130	0.4233541318
131	0.4232914792
132	0.4232155816
133	0.4231022323
134	0.423038531
135	0.4229982607
136	0.4228701165
137	0.4228062752
138	0.422700272
139	0.4225982579
140	0.4224994196
141	0.4224374871
142	0.4223282657
143	0.4222906073
144	0.4222244459
145	0.4220951588
146	0.4220438558
147	0.4220049385
148	0.4219478756
149	0.4218786315
150	0.4218414918
151	0.4217584652
152	0.4216935502
153	0.4216476798
154	0.4215130653
155	0.4214444732
156	0.4213800177
157	0.4213017003
158	0.4212394346
159	0.421153128
160	0.4210815803
161	0.4210442895
162	0.4209935407
163	0.4209334918
164	0.4208450624
165	0.4207913249
166	0.4207272312
167	0.4206188942
168	0.4205035975
169	0.4204064117
170	0.4203404008
171	0.4202646785
172	0.4202047337
173	0.4201233761
174	0.4200574144
175	0.4200136122
176	0.4199416212
177	0.4198358894
178	0.4197700921
179	0.4197259326
180	0.4196217162
181	0.4195462764
182	0.4194778479
183	0.4193950908
184	0.4193042688
185	0.4192386702
186	0.4191568144
