iter	Passed	Remaining
0	6	6016
1	13	6558
2	20	6805
3	27	6912
4	35	6965
5	42	7025
6	49	7029
7	56	6948
8	63	6978
9	70	6984
10	78	7012
11	85	7032
12	92	7043
13	100	7047
14	107	7077
15	113	7006
16	121	6997
17	128	7014
18	135	7005
19	142	6981
20	149	6976
21	157	7002
22	165	7011
23	172	7018
24	180	7033
25	187	7025
26	194	7014
27	201	7011
28	209	7022
29	217	7018
30	224	7021
31	231	6995
32	238	6980
33	245	6968
34	252	6961
35	259	6951
36	267	6951
37	274	6944
38	281	6941
39	289	6942
40	296	6944
41	304	6939
42	311	6934
43	318	6924
44	325	6911
45	333	6906
46	340	6901
47	347	6896
48	355	6898
49	363	6908
50	371	6912
51	379	6919
52	386	6914
53	394	6908
54	402	6907
55	409	6904
56	417	6898
57	424	6888
58	431	6888
59	440	6900
60	448	6910
61	456	6909
62	464	6905
63	471	6894
64	478	6886
65	486	6883
66	493	6873
67	500	6863
68	507	6849
69	515	6842
70	521	6827
71	529	6825
72	536	6814
73	543	6805
74	550	6791
75	557	6778
76	564	6763
77	571	6752
78	578	6744
79	586	6744
80	593	6738
81	601	6729
82	608	6727
83	616	6719
84	622	6705
85	630	6696
86	636	6681
87	643	6672
88	651	6663
89	658	6657
90	665	6646
91	672	6635
92	679	6625
93	686	6612
94	693	6602
95	700	6596
96	707	6586
97	714	6577
98	722	6571
99	729	6563
100	737	6560
101	744	6555
102	751	6548
103	758	6537
104	765	6528
105	773	6520
106	779	6508
107	787	6503
108	795	6499
109	802	6494
110	810	6488
111	817	6479
112	824	6469
113	831	6460
114	838	6451
115	845	6444
116	852	6437
117	860	6429
118	867	6420
119	874	6411
120	881	6403
121	888	6393
122	895	6387
123	902	6378
124	910	6371
125	916	6359
126	924	6352
127	931	6344
128	938	6335
129	945	6327
130	952	6317
131	959	6307
132	966	6300
133	973	6292
134	981	6287
135	988	6276
136	995	6272
137	1002	6263
138	1010	6257
139	1017	6252
140	1025	6245
141	1032	6237
142	1039	6232
143	1046	6223
144	1054	6215
145	1061	6210
146	1068	6199
147	1075	6191
148	1082	6183
149	1089	6175
150	1096	6167
151	1104	6163
152	1111	6154
153	1119	6148
154	1126	6141
155	1134	6135
156	1141	6129
157	1148	6120
158	1155	6113
159	1163	6106
160	1170	6099
161	1177	6089
162	1183	6079
163	1191	6072
164	1198	6065
165	1205	6054
166	1212	6046
167	1219	6039
168	1227	6034
169	1234	6027
170	1241	6020
171	1249	6013
172	1256	6006
173	1263	5998
174	1271	5992
175	1277	5982
176	1285	5976
177	1292	5967
178	1299	5960
179	1306	5953
180	1313	5945
181	1320	5936
182	1328	5929
183	1335	5922
184	1343	5916
185	1350	5910
186	1357	5901
187	1364	5892
188	1371	5884
189	1378	5877
190	1385	5869
191	1392	5861
192	1400	5853
193	1407	5848
194	1415	5842
195	1422	5836
196	1430	5829
197	1437	5821
198	1444	5814
199	1451	5807
200	1459	5801
201	1466	5793
202	1473	5785
203	1480	5778
204	1488	5770
205	1494	5761
206	1501	5753
207	1508	5744
208	1515	5737
209	1523	5730
210	1530	5722
211	1537	5716
212	1544	5708
213	1551	5699
214	1559	5692
215	1566	5686
216	1573	5678
217	1581	5672
218	1588	5664
219	1595	5656
220	1603	5651
221	1610	5642
222	1617	5634
223	1624	5627
224	1631	5619
225	1638	5612
226	1646	5605
227	1653	5598
228	1660	5590
229	1668	5584
230	1675	5577
231	1682	5569
232	1689	5562
233	1696	5555
234	1704	5547
235	1711	5539
236	1718	5533
237	1725	5525
238	1732	5517
239	1740	5511
240	1747	5503
241	1755	5497
242	1762	5491
243	1769	5483
244	1776	5475
245	1783	5467
246	1790	5459
247	1798	5452
248	1805	5445
249	1812	5438
250	1820	5431
251	1827	5424
252	1834	5416
253	1841	5408
254	1849	5403
255	1856	5395
256	1863	5388
257	1871	5381
258	1878	5374
259	1885	5367
260	1893	5360
261	1900	5353
262	1907	5345
263	1914	5338
264	1922	5331
265	1929	5323
266	1936	5316
267	1943	5308
268	1951	5302
269	1958	5295
270	1965	5288
271	1972	5279
272	1980	5272
273	1987	5265
274	1994	5257
275	2001	5250
276	2008	5243
277	2016	5236
278	2023	5229
279	2030	5221
280	2037	5213
281	2044	5205
282	2051	5198
283	2059	5192
284	2066	5185
285	2074	5178
286	2081	5170
287	2088	5163
288	2095	5156
289	2103	5149
290	2110	5142
291	2117	5134
292	2124	5126
293	2131	5119
294	2139	5112
295	2145	5103
296	2153	5096
297	2160	5089
298	2167	5082
299	2175	5075
300	2183	5070
301	2190	5063
302	2198	5057
303	2205	5049
304	2213	5042
305	2219	5034
306	2227	5027
307	2235	5021
308	2242	5014
309	2248	5005
310	2256	4999
311	2264	4992
312	2271	4985
313	2277	4976
314	2284	4968
315	2292	4961
316	2299	4954
317	2306	4947
318	2314	4941
319	2321	4934
320	2329	4926
321	2335	4918
322	2343	4911
323	2350	4904
324	2357	4897
325	2365	4890
326	2372	4883
327	2380	4876
328	2387	4869
329	2394	4861
330	2402	4854
331	2409	4848
332	2417	4841
333	2424	4835
334	2432	4827
335	2439	4821
336	2446	4814
337	2454	4806
338	2461	4798
339	2468	4791
340	2475	4784
341	2482	4775
342	2489	4768
343	2496	4760
344	2503	4753
345	2510	4746
346	2517	4738
347	2525	4731
348	2532	4723
349	2539	4715
350	2546	4708
351	2553	4701
352	2560	4693
353	2568	4686
354	2575	4679
355	2582	4672
356	2589	4664
357	2597	4657
358	2604	4650
359	2611	4643
360	2619	4636
361	2626	4629
362	2633	4622
363	2640	4614
364	2648	4607
365	2655	4599
366	2662	4593
367	2670	4587
368	2678	4579
369	2685	4572
370	2692	4565
371	2700	4558
372	2707	4551
373	2714	4544
374	2721	4536
375	2728	4528
376	2736	4521
377	2743	4514
378	2750	4506
379	2757	4499
380	2765	4492
381	2772	4485
382	2780	4479
383	2787	4471
384	2794	4464
385	2801	4456
386	2808	4449
387	2815	4441
388	2823	4434
389	2830	4427
390	2837	4420
391	2844	4412
392	2851	4404
393	2859	4397
394	2866	4390
395	2873	4383
396	2880	4375
397	2888	4368
398	2894	4360
399	2902	4353
400	2909	4345
401	2917	4339
402	2924	4332
403	2931	4324
404	2938	4317
405	2946	4310
406	2953	4303
407	2960	4295
408	2967	4288
409	2974	4280
410	2981	4273
411	2989	4266
412	2996	4258
413	3003	4251
414	3010	4243
415	3017	4235
416	3024	4228
417	3031	4221
418	3038	4213
419	3046	4206
420	3053	4199
421	3060	4192
422	3067	4184
423	3075	4177
424	3082	4170
425	3089	4163
426	3096	4155
427	3104	4148
